"Path","Line","Symbol","Flags"
"include/SimdLib/Detail/Implementations.h","932","shuffle","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Detail/Implementations.h","937","add","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Detail/Implementations.h","942","multiply_add_adjacent","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Detail/Implementations.h","947","multiply_add_unsigned_signed_bytes","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Detail/Implementations.h","951","subtract","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Detail/Implementations.h","955","multiply","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Detail/Implementations.h","960","divide","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Detail/Implementations.h","965","modulus","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Detail/Implementations.h","970","sqrt","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Detail/Implementations.h","979","magnitude","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Detail/Implementations.h","988","magnitude_checked","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Detail/Implementations.h","1007","min_position","SIMD_FLAGS(In, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Detail/Implementations.h","1029","sum_absolute_byte_differences","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Detail/Implementations.h","1034","multi_sum_absolute_byte_differences","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
"include/SimdLib/Detail/Implementations.h","1040","absolute","SIMD_FLAGS(InOut, RegisterOnly, ForceInline, Flatten)"
